# Intensity Error [H,H,0] DeltaE [0,0,L] [-H,H,0]
#  shape: 80x50x1x1
3.211535e-05 6.644946e-06 -3.650000e+00 1.875000e+01 0.000000e+00 5.000000e+00
2.762467e-05 6.426466e-06 -3.650000e+00 1.925000e+01 0.000000e+00 5.000000e+00
3.535911e-05 6.447947e-06 -3.650000e+00 1.975000e+01 0.000000e+00 5.000000e+00
4.449632e-05 6.588614e-06 -3.650000e+00 2.025000e+01 0.000000e+00 5.000000e+00
4.783725e-05 6.468007e-06 -3.650000e+00 2.075000e+01 0.000000e+00 5.000000e+00
4.491069e-05 6.398734e-06 -3.650000e+00 2.125000e+01 0.000000e+00 5.000000e+00
3.568878e-05 6.400225e-06 -3.650000e+00 2.175000e+01 0.000000e+00 5.000000e+00
2.490512e-05 6.302588e-06 -3.650000e+00 2.225000e+01 0.000000e+00 5.000000e+00
1.873708e-05 6.108434e-06 -3.650000e+00 2.275000e+01 0.000000e+00 5.000000e+00
1.914880e-05 5.960319e-06 -3.650000e+00 2.325000e+01 0.000000e+00 5.000000e+00
2.020860e-05 5.789298e-06 -3.650000e+00 2.375000e+01 0.000000e+00 5.000000e+00
1.759566e-05 6.148336e-06 -3.650000e+00 2.425000e+01 0.000000e+00 5.000000e+00
1.285642e-05 7.324173e-06 -3.650000e+00 2.475000e+01 0.000000e+00 5.000000e+00
1.689555e-03 6.063381e-05 -3.550000e+00 2.500000e-01 0.000000e+00 5.000000e+00
1.094660e-03 4.535633e-05 -3.550000e+00 7.500000e-01 0.000000e+00 5.000000e+00
5.377954e-04 3.071152e-05 -3.550000e+00 1.250000e+00 0.000000e+00 5.000000e+00
1.406141e-04 1.852579e-05 -3.550000e+00 1.750000e+00 0.000000e+00 5.000000e+00
3.107254e-05 1.076018e-05 -3.550000e+00 2.250000e+00 0.000000e+00 5.000000e+00
1.567852e-05 7.729579e-06 -3.550000e+00 2.750000e+00 0.000000e+00 5.000000e+00
2.967859e-06 6.924061e-06 -3.550000e+00 3.250000e+00 0.000000e+00 5.000000e+00
2.300209e-06 6.643031e-06 -3.550000e+00 3.750000e+00 0.000000e+00 5.000000e+00
8.786069e-06 6.368037e-06 -3.550000e+00 4.250000e+00 0.000000e+00 5.000000e+00
1.724027e-05 6.380955e-06 -3.550000e+00 4.750000e+00 0.000000e+00 5.000000e+00
2.832034e-05 6.467740e-06 -3.550000e+00 5.250000e+00 0.000000e+00 5.000000e+00
3.839930e-05 6.810273e-06 -3.550000e+00 5.750000e+00 0.000000e+00 5.000000e+00
3.860139e-05 7.017513e-06 -3.550000e+00 6.250000e+00 0.000000e+00 5.000000e+00
2.787488e-05 6.682770e-06 -3.550000e+00 6.750000e+00 0.000000e+00 5.000000e+00
1.538746e-05 6.428761e-06 -3.550000e+00 7.250000e+00 0.000000e+00 5.000000e+00
5.728897e-06 6.562763e-06 -3.550000e+00 7.750000e+00 0.000000e+00 5.000000e+00
8.792640e-07 6.610621e-06 -3.550000e+00 8.250000e+00 0.000000e+00 5.000000e+00
-2.829994e-06 6.518582e-06 -3.550000e+00 8.750000e+00 0.000000e+00 5.000000e+00
1.004343e-06 6.608739e-06 -3.550000e+00 9.250000e+00 0.000000e+00 5.000000e+00
1.243923e-05 6.826301e-06 -3.550000e+00 9.750000e+00 0.000000e+00 5.000000e+00
2.027299e-05 7.130939e-06 -3.550000e+00 1.025000e+01 0.000000e+00 5.000000e+00
2.118668e-05 7.396240e-06 -3.550000e+00 1.075000e+01 0.000000e+00 5.000000e+00
2.381999e-05 7.901465e-06 -3.550000e+00 1.125000e+01 0.000000e+00 5.000000e+00
3.741993e-05 8.355635e-06 -3.550000e+00 1.175000e+01 0.000000e+00 5.000000e+00
5.426704e-05 8.560379e-06 -3.550000e+00 1.225000e+01 0.000000e+00 5.000000e+00
6.448920e-05 8.421941e-06 -3.550000e+00 1.275000e+01 0.000000e+00 5.000000e+00
