# Intensity Error [H,H,H] DeltaE [L,L,-2L] [-H,H,0]
#  shape: 40x50x1x1
4.630174e-05 1.077680e-05 2.350000e+00 8.250000e+00 0.000000e+00 6.000000e+00
5.710480e-05 1.094945e-05 2.350000e+00 8.750000e+00 0.000000e+00 6.000000e+00
6.207592e-05 1.132795e-05 2.350000e+00 9.250000e+00 0.000000e+00 6.000000e+00
6.603204e-05 1.143416e-05 2.350000e+00 9.750000e+00 0.000000e+00 6.000000e+00
7.073528e-05 1.159923e-05 2.350000e+00 1.025000e+01 0.000000e+00 6.000000e+00
7.156845e-05 1.167131e-05 2.350000e+00 1.075000e+01 0.000000e+00 6.000000e+00
6.457887e-05 1.123705e-05 2.350000e+00 1.125000e+01 0.000000e+00 6.000000e+00
5.973221e-05 1.112299e-05 2.350000e+00 1.175000e+01 0.000000e+00 6.000000e+00
6.058718e-05 1.144759e-05 2.350000e+00 1.225000e+01 0.000000e+00 6.000000e+00
5.935524e-05 1.172630e-05 2.350000e+00 1.275000e+01 0.000000e+00 6.000000e+00
4.712061e-05 1.167618e-05 2.350000e+00 1.325000e+01 0.000000e+00 6.000000e+00
4.085298e-05 1.180679e-05 2.350000e+00 1.375000e+01 0.000000e+00 6.000000e+00
4.688548e-05 1.221760e-05 2.350000e+00 1.425000e+01 0.000000e+00 6.000000e+00
6.299264e-05 1.245581e-05 2.350000e+00 1.475000e+01 0.000000e+00 6.000000e+00
7.281629e-05 1.293257e-05 2.350000e+00 1.525000e+01 0.000000e+00 6.000000e+00
8.295298e-05 1.361373e-05 2.350000e+00 1.575000e+01 0.000000e+00 6.000000e+00
9.284271e-05 1.425618e-05 2.350000e+00 1.625000e+01 0.000000e+00 6.000000e+00
9.384721e-05 1.472917e-05 2.350000e+00 1.675000e+01 0.000000e+00 6.000000e+00
7.749007e-05 1.433221e-05 2.350000e+00 1.725000e+01 0.000000e+00 6.000000e+00
6.006075e-05 1.370304e-05 2.350000e+00 1.775000e+01 0.000000e+00 6.000000e+00
5.666230e-05 1.348833e-05 2.350000e+00 1.825000e+01 0.000000e+00 6.000000e+00
6.205321e-05 1.328966e-05 2.350000e+00 1.875000e+01 0.000000e+00 6.000000e+00
6.392749e-05 1.300307e-05 2.350000e+00 1.925000e+01 0.000000e+00 6.000000e+00
5.643655e-05 1.259536e-05 2.350000e+00 1.975000e+01 0.000000e+00 6.000000e+00
5.304786e-05 1.259368e-05 2.350000e+00 2.025000e+01 0.000000e+00 6.000000e+00
5.225831e-05 1.262334e-05 2.350000e+00 2.075000e+01 0.000000e+00 6.000000e+00
5.912444e-05 1.271907e-05 2.350000e+00 2.125000e+01 0.000000e+00 6.000000e+00
6.350686e-05 1.293055e-05 2.350000e+00 2.175000e+01 0.000000e+00 6.000000e+00
6.547987e-05 1.309795e-05 2.350000e+00 2.225000e+01 0.000000e+00 6.000000e+00
5.813748e-05 1.251711e-05 2.350000e+00 2.275000e+01 0.000000e+00 6.000000e+00
3.946594e-05 1.183626e-05 2.350000e+00 2.325000e+01 0.000000e+00 6.000000e+00
2.036069e-05 1.099683e-05 2.350000e+00 2.375000e+01 0.000000e+00 6.000000e+00
9.844065e-06 1.091299e-05 2.350000e+00 2.425000e+01 0.000000e+00 6.000000e+00
7.928363e-06 1.250593e-05 2.350000e+00 2.475000e+01 0.000000e+00 6.000000e+00
4.877800e-03 1.162139e-04 2.450000e+00 2.500000e-01 0.000000e+00 6.000000e+00
3.627171e-03 8.608775e-05 2.450000e+00 7.500000e-01 0.000000e+00 6.000000e+00
2.118546e-03 5.613794e-05 2.450000e+00 1.250000e+00 0.000000e+00 6.000000e+00
6.600160e-04 3.121273e-05 2.450000e+00 1.750000e+00 0.000000e+00 6.000000e+00
9.297648e-05 1.736889e-05 2.450000e+00 2.250000e+00 0.000000e+00 6.000000e+00
5.602618e-05 1.495097e-05 2.450000e+00 2.750000e+00 0.000000e+00 6.000000e+00
7.376741e-05 1.534163e-05 2.450000e+00 3.250000e+00 0.000000e+00 6.000000e+00
7.296206e-05 1.452632e-05 2.450000e+00 3.750000e+00 0.000000e+00 6.000000e+00
