# Intensity Error [H,0,0] DeltaE [0,0,L] [0,K,0]
#  shape: 80x50x1x1
3.571063e-05 1.475467e-05 -3.650000e+00 9.250000e+00 8.000000e+00 0.000000e+00
1.034258e-05 1.327455e-05 -3.650000e+00 9.750000e+00 8.000000e+00 0.000000e+00
-9.931869e-06 1.282529e-05 -3.650000e+00 1.025000e+01 8.000000e+00 0.000000e+00
2.022546e-05 1.451035e-05 -3.650000e+00 1.075000e+01 8.000000e+00 0.000000e+00
7.223624e-05 1.673542e-05 -3.650000e+00 1.125000e+01 8.000000e+00 0.000000e+00
1.020817e-04 1.713257e-05 -3.650000e+00 1.175000e+01 8.000000e+00 0.000000e+00
8.753747e-05 1.528688e-05 -3.650000e+00 1.225000e+01 8.000000e+00 0.000000e+00
5.781417e-05 1.273980e-05 -3.650000e+00 1.275000e+01 8.000000e+00 0.000000e+00
3.502346e-05 1.066195e-05 -3.650000e+00 1.325000e+01 8.000000e+00 0.000000e+00
2.670128e-05 1.010370e-05 -3.650000e+00 1.375000e+01 8.000000e+00 0.000000e+00
2.803775e-05 9.966274e-06 -3.650000e+00 1.425000e+01 8.000000e+00 0.000000e+00
3.732121e-05 9.521640e-06 -3.650000e+00 1.475000e+01 8.000000e+00 0.000000e+00
4.155576e-05 9.250352e-06 -3.650000e+00 1.525000e+01 8.000000e+00 0.000000e+00
3.822382e-05 9.101407e-06 -3.650000e+00 1.575000e+01 8.000000e+00 0.000000e+00
3.744126e-05 9.003277e-06 -3.650000e+00 1.625000e+01 8.000000e+00 0.000000e+00
5.189976e-05 9.515079e-06 -3.650000e+00 1.675000e+01 8.000000e+00 0.000000e+00
7.215365e-05 1.023326e-05 -3.650000e+00 1.725000e+01 8.000000e+00 0.000000e+00
8.020491e-05 1.011280e-05 -3.650000e+00 1.775000e+01 8.000000e+00 0.000000e+00
6.200215e-05 9.791252e-06 -3.650000e+00 1.825000e+01 8.000000e+00 0.000000e+00
3.501102e-05 9.593793e-06 -3.650000e+00 1.875000e+01 8.000000e+00 0.000000e+00
1.535796e-05 9.029999e-06 -3.650000e+00 1.925000e+01 8.000000e+00 0.000000e+00
1.219326e-05 9.036702e-06 -3.650000e+00 1.975000e+01 8.000000e+00 0.000000e+00
2.262918e-05 9.574503e-06 -3.650000e+00 2.025000e+01 8.000000e+00 0.000000e+00
4.195400e-05 1.008239e-05 -3.650000e+00 2.075000e+01 8.000000e+00 0.000000e+00
5.117765e-05 1.098563e-05 -3.650000e+00 2.125000e+01 8.000000e+00 0.000000e+00
4.626155e-05 1.190743e-05 -3.650000e+00 2.175000e+01 8.000000e+00 0.000000e+00
3.491195e-05 1.208872e-05 -3.650000e+00 2.225000e+01 8.000000e+00 0.000000e+00
2.689072e-05 1.184340e-05 -3.650000e+00 2.275000e+01 8.000000e+00 0.000000e+00
2.474395e-05 1.081891e-05 -3.650000e+00 2.325000e+01 8.000000e+00 0.000000e+00
2.493946e-05 1.003887e-05 -3.650000e+00 2.375000e+01 8.000000e+00 0.000000e+00
2.595681e-05 1.094068e-05 -3.650000e+00 2.425000e+01 8.000000e+00 0.000000e+00
3.047439e-05 1.248553e-05 -3.650000e+00 2.475000e+01 8.000000e+00 0.000000e+00
5.105850e-03 1.142636e-04 -3.550000e+00 2.500000e-01 8.000000e+00 0.000000e+00
3.659546e-03 8.446387e-05 -3.550000e+00 7.500000e-01 8.000000e+00 0.000000e+00
2.084813e-03 5.701936e-05 -3.550000e+00 1.250000e+00 8.000000e+00 0.000000e+00
7.588513e-04 3.417439e-05 -3.550000e+00 1.750000e+00 8.000000e+00 0.000000e+00
2.025589e-04 1.933111e-05 -3.550000e+00 2.250000e+00 8.000000e+00 0.000000e+00
8.649149e-05 1.390029e-05 -3.550000e+00 2.750000e+00 8.000000e+00 0.000000e+00
9.212063e-05 1.328974e-05 -3.550000e+00 3.250000e+00 8.000000e+00 0.000000e+00
1.233380e-04 1.414870e-05 -3.550000e+00 3.750000e+00 8.000000e+00 0.000000e+00
1.474808e-04 1.475365e-05 -3.550000e+00 4.250000e+00 8.000000e+00 0.000000e+00
1.507508e-04 1.453953e-05 -3.550000e+00 4.750000e+00 8.000000e+00 0.000000e+00
1.419257e-04 1.417810e-05 -3.550000e+00 5.250000e+00 8.000000e+00 0.000000e+00
1.231199e-04 1.377262e-05 -3.550000e+00 5.750000e+00 8.000000e+00 0.000000e+00
9.004881e-05 1.311014e-05 -3.550000e+00 6.250000e+00 8.000000e+00 0.000000e+00
5.322646e-05 1.232126e-05 -3.550000e+00 6.750000e+00 8.000000e+00 0.000000e+00
2.387949e-05 1.170627e-05 -3.550000e+00 7.250000e+00 8.000000e+00 0.000000e+00
1.770944e-05 1.156122e-05 -3.550000e+00 7.750000e+00 8.000000e+00 0.000000e+00
2.639291e-05 1.219387e-05 -3.550000e+00 8.250000e+00 8.000000e+00 0.000000e+00
3.837197e-05 1.330762e-05 -3.550000e+00 8.750000e+00 8.000000e+00 0.000000e+00
3.187666e-05 1.333827e-05 -3.550000e+00 9.250000e+00 8.000000e+00 0.000000e+00
8.974464e-06 1.191937e-05 -3.550000e+00 9.750000e+00 8.000000e+00 0.000000e+00
-1.254984e-05 1.155942e-05 -3.550000e+00 1.025000e+01 8.000000e+00 0.000000e+00
8.686326e-06 1.382078e-05 -3.550000e+00 1.075000e+01 8.000000e+00 0.000000e+00
5.331503e-05 1.701490e-05 -3.550000e+00 1.125000e+01 8.000000e+00 0.000000e+00
8.501900e-05 1.769074e-05 -3.550000e+00 1.175000e+01 8.000000e+00 0.000000e+00
7.207573e-05 1.571499e-05 -3.550000e+00 1.225000e+01 8.000000e+00 0.000000e+00
4.506447e-05 1.290756e-05 -3.550000e+00 1.275000e+01 8.000000e+00 0.000000e+00
2.839298e-05 1.068116e-05 -3.550000e+00 1.325000e+01 8.000000e+00 0.000000e+00
2.668405e-05 1.016361e-05 -3.550000e+00 1.375000e+01 8.000000e+00 0.000000e+00
2.894866e-05 9.678002e-06 -3.550000e+00 1.425000e+01 8.000000e+00 0.000000e+00
3.294935e-05 8.952835e-06 -3.550000e+00 1.475000e+01 8.000000e+00 0.000000e+00
3.207078e-05 8.630143e-06 -3.550000e+00 1.525000e+01 8.000000e+00 0.000000e+00
2.694346e-05 8.498999e-06 -3.550000e+00 1.575000e+01 8.000000e+00 0.000000e+00
2.667145e-05 8.449341e-06 -3.550000e+00 1.625000e+01 8.000000e+00 0.000000e+00
3.736797e-05 8.767323e-06 -3.550000e+00 1.675000e+01 8.000000e+00 0.000000e+00
5.353031e-05 9.199827e-06 -3.550000e+00 1.725000e+01 8.000000e+00 0.000000e+00
5.802623e-05 9.254056e-06 -3.550000e+00 1.775000e+01 8.000000e+00 0.000000e+00
4.223072e-05 9.365663e-06 -3.550000e+00 1.825000e+01 8.000000e+00 0.000000e+00
2.185405e-05 9.106544e-06 -3.550000e+00 1.875000e+01 8.000000e+00 0.000000e+00
1.325785e-05 8.759844e-06 -3.550000e+00 1.925000e+01 8.000000e+00 0.000000e+00
1.684419e-05 9.035547e-06 -3.550000e+00 1.975000e+01 8.000000e+00 0.000000e+00
2.965121e-05 9.397155e-06 -3.550000e+00 2.025000e+01 8.000000e+00 0.000000e+00
4.567586e-05 9.609364e-06 -3.550000e+00 2.075000e+01 8.000000e+00 0.000000e+00
5.409126e-05 1.041886e-05 -3.550000e+00 2.125000e+01 8.000000e+00 0.000000e+00
5.204232e-05 1.110397e-05 -3.550000e+00 2.175000e+01 8.000000e+00 0.000000e+00
4.621900e-05 1.119863e-05 -3.550000e+00 2.225000e+01 8.000000e+00 0.000000e+00
4.338591e-05 1.150224e-05 -3.550000e+00 2.275000e+01 8.000000e+00 0.000000e+00
