[Header]
TITLE,LLZTO-sc 2-400 process 02282022.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,16.3,MASS:Sample Mass (mg)
INFO,0.1,MASSERR:Sample Mass Error (mg)
INFO,881.5,MOLWGHT:Formula Weight (g/mole)
INFO,23.5,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/g-K),Samp HC Err (J/g-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/g-K/K),Addenda Offset HC (µJ/K)
3854859402.52738,,1857,49.9406,49.9406,-0.085292265,9.8999999E-6,50.082189,1.1331448,0.063914818,0.00040869665,462.93877,0.523,1504.7503,1.804,0.13623278,28.560347,0.018387227,99.697785,459.81548,1.3392546,1,,,,5.2763301E-5,65.531871,2508.2256,0.0012761986,0
3854859627.315,,1857,49.9408,49.9408,-0.036553826,9.8999999E-6,50.000516,1.0238347,0.063833418,0.00040150816,461.59658,0.5223,1502.0813,1.346,0.40701807,28.894014,0.033629133,99.453354,459.28002,1.2677638,1,,,,5.2123166E-5,57.120694,2500.0516,0.0012766552,0
3854859852.96224,,1857,49.9396,49.9396,0.15839991,9.8999999E-6,49.996813,1.0315615,0.063841213,0.0004007894,461.55352,0.5222,1502.1653,1.284,0.90691462,28.984011,0.036572485,99.407315,459.22546,1.2583152,1,,,,5.1975857E-5,57.788029,2499.6813,0.0012769057,0
3854860439.36878,,1857,44.8739,44.8739,0.18276913,9.8999999E-6,44.987081,1.0259719,0.05201775,0.00033294818,377.64217,0.455,1225.5315,1.479,0.15796812,25.121579,0.015100112,99.718089,444.90721,1.2619304,1,,,,4.8850071E-5,57.968021,2023.8375,0.001156282,0
3854860639.96089,,1857,44.8728,44.8728,0,9.8999999E-6,44.914149,0.9264967,0.05190448,0.00032715711,376.58138,0.4539,1222.6244,1.136,0.50104966,25.406432,0.029736083,99.450991,444.53063,1.2007761,1,,,,4.824999E-5,50.243159,2017.2807,0.0011556376,0
3854860842.17448,,1857,44.8751,44.8751,-0.036553826,9.8999999E-6,44.90954,0.93326956,0.051930329,0.00032688585,376.49434,0.4538,1222.9587,1.103,0.9591559,25.466686,0.029969963,99.447826,444.40628,1.1946982,1,,,,4.814979E-5,50.812863,2016.8667,0.0011563318,0
3854861351.8832,,1857,40.3204,40.3204,-0.12184609,9.8999999E-6,40.414908,0.92931396,0.041791676,0.00026839708,309.20901,0.3858,990.41333,1.235,0.18090345,21.896722,0.010515978,99.776374,431.66835,1.2076795,1,,,,4.5279103E-5,50.933371,1633.3648,0.0010340658,0
3854861529.27806,,1857,40.3209,40.3209,-0.036553826,9.8999999E-6,40.344401,0.8342546,0.041694012,0.0002633434,308.29391,0.385,987.90631,0.9452,0.54130019,22.138785,0.024239915,99.490119,431.26607,1.146891,1,,,,4.4731678E-5,43.793445,1627.6707,0.0010334523,0
3854861706.89861,,1857,40.3201,40.3201,-0.073107652,9.8999999E-6,40.3392,0.84011118,0.041699401,0.0002630811,308.23401,0.3849,987.93425,0.9232,1.2544711,22.209685,0.026136967,99.451913,431.19109,1.1421952,1,,,,4.4598312E-5,44.277569,1627.2511,0.0010337191,0
3854862152.16689,,1857,36.231,36.231,-0.10966148,9.8999999E-6,36.303846,0.84234414,0.032960787,0.00021250519,253.25579,0.3284,790.51661,1.013,0.21573589,18.92658,0.006717347,99.837014,420.81716,1.1691664,1,,,,4.1799043E-5,44.41937,1317.9692,0.00090791445,0
